experiment_id,date,class,family,name,status,technical_success,calibration_decision,production_status,candidate_label,candidate12_assessment,iterations,source_git_sha,implementation_git_sha,audit_git_sha,jar_sha256,payload_path,release_path,run_path,audit_path,audit_sha256,input_sha256,supersedes,conclusion,notes
"FIX-ST11-SCHOOL-31","2026-08-08","FIX","stage11_core","Physical school-bus choice run31","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","/mnt/DiskM/by/hk_stage11_student_school_mode_20260808_release31","/mnt/DiskM/by/hk_stage11_student_school_mode_20260808_run31","/mnt/DiskM/by/hk_stage11_student_school_mode_20260808_run31/student_school_mode_choice_audit.json","","","","All 884 selected passengers boarded their exact physical school-bus vehicle.","hashes_not_recorded; capacity competition disabled"
"FIX-ST11-PTCAP-51","2026-08-08","FIX","stage11_core","Physical non-Taxi PT-capacity stress run51","FAILED","false","TECHNICAL_GATE_FAILED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","/mnt/DiskM/by/hk_stage11_student_school_mode_20260808_release51","/mnt/DiskM/by/hk_stage11_student_school_mode_20260808_run51","","","","","PT capacity and network stability gate failed with 60585 waiting and 1445 onboard at 30 hours.","hashes_not_recorded; retained failed stress evidence"
"FIX-ST11-WALKCLK-56","2026-08-08","FIX","stage11_core","Pre Walk-clock repair mechanical run56","FAILED","false","TECHNICAL_GATE_FAILED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","/mnt/DiskM/by/hk_stage11_student_school_mode_20260808_release56","/mnt/DiskM/by/hk_stage11_student_school_mode_20260808_run56","/mnt/DiskM/by/hk_stage11_student_school_mode_20260808_run56/student_school_mode_choice_audit.json","","","","Physical audit passed but the school-bus audit failed because per-link Walk clock rounding caused missed boards.","hashes_not_recorded; superseded by FIX-ST11-WALKCLK-57"
"FIX-ST11-WALKCLK-57","2026-08-09","FIX","stage11_core","Continuous Walk-clock repair run57","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","/mnt/DiskM/by/hk_stage11_student_school_mode_20260809_release57","/mnt/DiskM/by/hk_stage11_student_school_mode_20260809_run57","/mnt/DiskM/by/hk_stage11_student_school_mode_20260809_run57/student_school_mode_choice_audit.json","","","FIX-ST11-WALKCLK-56","All 1002 selected school-bus trips departed and boarded; one remained onboard a traffic-stuck bus at the horizon.","hashes_not_recorded; ordinary innovation frozen"
"FIX-SIGNAL-AM-03","2026-08-10","FIX","signal_road_runtime","Eight-junction AM signal pilot run3","REJECTED","true","PRODUCTION_PERFORMANCE_REJECTED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","/mnt/DiskM/by/hk_stage11_traffic_signals_20260810_release3","/mnt/DiskM/by/hk_stage11_traffic_signals_20260810_run3","docs/HONG_KONG_TRAFFIC_SIGNAL_MATSIM_ADOPTION_DESIGN.md","","","","Signal mechanics passed but all-day AM timing worsened stuck and approach-flow indicators.","hashes_not_recorded; observed-partial sensitivity"
"FIX-SIGNAL-PM-04","2026-08-10","FIX","signal_road_runtime","Eight-junction PM signal pilot run4","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_APPLICABLE","0","","","","","","","/mnt/DiskM/by/hk_stage11_traffic_signals_20260810_run4","docs/HONG_KONG_TRAFFIC_SIGNAL_MATSIM_ADOPTION_DESIGN.md","","","","PM signal mechanics passed; no production-performance adoption was authorized.","hashes_not_recorded; one-iteration sensitivity"
"FIX-ROAD-HOTSPOT-62","2026-08-10","FIX","signal_road_runtime","Bounded road hotspot repair run62","SUCCESS","true","SENSITIVITY_ACCEPTED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","","/mnt/DiskM/by/hk_stage11_road_hotspot_repair_20260810_run62","docs/HONG_KONG_NO_SIGNAL_ROAD_RUNTIME_AUDIT.md","","","","Reduced road delay 15.73 percent and road-vehicle stuck 17.77 percent relative to run57.","hashes_not_recorded; residual queues remain"
"FIX-CAR-ANCHOR-68","2026-08-10","FIX","signal_road_runtime","Private-Car origin-anchor repair run68","SUCCESS","true","SENSITIVITY_ACCEPTED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","","/mnt/DiskM/by/hk_stage11_car_origin_anchor_repair_20260810_run68","docs/HONG_KONG_NO_SIGNAL_ROAD_RUNTIME_AUDIT.md","","","","Applied 4633 bounded anchor repairs and reduced realised initial reversals while preserving bindings.","hashes_not_recorded; not adopted due completion trade-offs"
"FIX-SIGNAL-C10-11","","FIX","signal_road_runtime","Candidate10 signal integration milestone","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","","Candidate10 signal layer reached an independently recorded technical milestone.","date_paths_hashes_not_recorded_in_this_worktree"
"FIX-SIGNAL-C11-12","","FIX","signal_road_runtime","Candidate11 signal integration milestone","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","FIX-SIGNAL-C10-11","Candidate11 signal layer superseded the prior signal sensitivity for later calibration inputs.","date_paths_hashes_not_recorded_in_this_worktree"
"FIX-INNOV-C11-13E","","FIX","signal_road_runtime","Candidate11 innovation schedule repair","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","","Restored bounded ordinary innovation followed by selection-only iterations.","date_paths_hashes_not_recorded_in_this_worktree"
"FIX-TAXIWALK-C11-14B","","FIX","signal_road_runtime","Candidate11 Taxi and Walk scoring integration","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","","Integrated explicit Taxi and Walk scoring for calibration sensitivity runs.","date_paths_hashes_not_recorded_in_this_worktree"
"FIX-TAXI-DVRP-25","","FIX","signal_road_runtime","Candidate11 physical Taxi DVRP integration","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","","Integrated the 15500-vehicle Taxi DVRP supply for bounded calibration runs.","date_paths_hashes_not_recorded_in_this_worktree"
"FIX-ROAD-C5B-01","","FIX","signal_road_runtime","Candidate5B explicit road-supply baseline","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","","Fixed the explicit road-supply baseline used by Candidate11 calibration experiments.","date_paths_hashes_not_recorded_in_this_worktree"
"FIX-PTTIME-C5B-01","","FIX","signal_road_runtime","Candidate5B calibrated PT time baseline","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","","Fixed the calibrated PT input used by later Candidate11 experiments.","date_paths_hashes_not_recorded_in_this_worktree"
"FIX-FORMAL50-40","","FIX","signal_road_runtime","Formal 50-iteration strategy template restoration","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0..49","","","","","","","","","","","","Restored the formal strategy structure reused by shortened calibration profiles.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-TAXI-OPS-04","","CALIBRATION","taxi_operations","Taxi operations calibration milestone","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","","Established an operational Taxi sensitivity reference before score calibration.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-TAXI-TCS579-02","","CALIBRATION","taxi_tcs","Taxi TCS 5.79 percent comparison","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","CAL-TAXI-OPS-04","Compared Taxi demand against the 5.79 percent TCS reference.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-TAXI-TCS536-01","","CALIBRATION","taxi_tcs","Taxi TCS 5.36 percent comparison","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","CAL-TAXI-TCS579-02","Compared Taxi demand against the 5.36 percent TCS reference.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-FACT-A0-02","","CALIBRATION","score_factorial","Factorial arm A0","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","","Completed as a technical factorial calibration arm.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-FACT-A1-01","","CALIBRATION","score_factorial","Factorial arm A1","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","CAL-FACT-A0-02","Completed as a technical factorial calibration arm.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-FACT-A2-01","","CALIBRATION","score_factorial","Factorial arm A2","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","CAL-FACT-A1-01","Completed as a technical factorial calibration arm.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-FACT-A3-01","","CALIBRATION","score_factorial","Factorial arm A3","SUCCESS","true","DIAGNOSTIC_REFERENCE","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","CAL-FACT-A2-01","Retained as the A3 comparison baseline for later score arms.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-FACT-B1-01","","CALIBRATION","score_factorial","Incremental arm B1","SUCCESS","true","DIAGNOSTIC_REFERENCE","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","CAL-FACT-A3-01","Retained as the B1 incremental comparison baseline.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-FACT-B2-01","","CALIBRATION","score_factorial","Incremental arm B2","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_APPLICABLE","","","","","","","","","","","","CAL-FACT-B1-01","Completed as an incremental calibration arm.","date_paths_hashes_not_recorded_in_this_worktree"
"CAL-C1-03","2026-08-24","CALIBRATION","score_calibration","C1 Taxi fare minus 1 sensitivity run3","SUCCESS","true","CALIBRATION_REJECTED","NOT_ADOPTED","","NOT_READY","0..24","","","","3575a97d224601514c25764dad46ef87db8958091d5577fa3c22ba193a756a09","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration25_c1_payload3","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration25_c1_release3","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration25_c1_run3","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration25_c1_audit1","47dc75c0a420f676ac820ad84a1265f29fc3ccc9411ab7bdad4e4b45c915efea","","","Completed 25 iterations; low Taxi share was a valid sensitivity result rather than a technical failure.","abbreviated_git_record=84cec09; full_git_hash_not_recorded; audit used A3 and B1 baselines"
"CAL-D1-01","2026-08-24","CALIBRATION","score_calibration","D1 adult minus 0.6 student minus 0.7 run1","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_READY","0..21","","","","3575a97d224601514c25764dad46ef87db8958091d5577fa3c22ba193a756a09","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration22_d1_payload1","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration22_d1_release1","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration22_d1_run1","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration22_d1_audit1","14f1f881a1a0089c4912c927422faae99a67e04f978875f91e11db82d37a45a2","","CAL-C1-03","Completed 22 iterations and supplied a closer Taxi-price sensitivity comparison.","abbreviated_git_record=36b9227; full_git_hash_not_recorded"
"CAL-D2-01","2026-08-24","CALIBRATION","score_calibration","D2 adult minus 0.5 student minus 0.6 Walk V4 run1","SUCCESS","true","CALIBRATION_REJECTED","NOT_ADOPTED","","NOT_READY","0..21","","","","3575a97d224601514c25764dad46ef87db8958091d5577fa3c22ba193a756a09","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration22_d2_payload1","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration22_d2_release1","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260824_scorecalibration22_d2_run1","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260825_scorecalibration22_d2_audit1","2295ea009cb1743501899e40572eac627ed5ca527419249b2f60a663e0a65b39","","CAL-D1-01","Completed 22 iterations; Walk V4 did not meet the share and duration calibration gates.","abbreviated_git_record=593ade8; full_git_hash_not_recorded"
"CAL-WALKREPAIR-03","2026-08-25","CALIBRATION","walk_choice_repair","Walk choice-set repair run3","SUCCESS","true","DIAGNOSTIC_ONLY","NOT_ADOPTED","","NOT_READY","0..21","","","","84f33197468b472acfe2a1f3251651c33bd46cbf4b92b5f94f4533d4f473eace","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260825_walkrepair22_payload8","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260825_walkrepair22_release3","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260825_walkrepair22_run3","","","fbc084d7f7af7eb2f5be400f443b566ed70269dfb49eae59a5190253747dabdd","CAL-D2-01","Completed the repaired Walk choice-set and protected full student candidate universe technical run.","abbreviated_git_record=7b3271f; full_git_hash_not_recorded; final audit path not_recorded"
"CAL-GV2-01","2026-08-25","CALIBRATION","gradev2","GradeV2 run1 selector-conflict failure","FAILED","false","TECHNICAL_GATE_FAILED","NOT_ADOPTED","","NOT_READY","0..5","3e6a3781fe63d49fc67cc4eb305fe6104664fc67","3e6a3781fe63d49fc67cc4eb305fe6104664fc67","","cbe2e0bcffd6e73021cf81267444c27f6d4ab61ba2b0f2b6ab36a04bd69b0d86","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260825_gradev2_payload1","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260825_gradev2_release1","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260825_gradev2_run1","","","fbc084d7f7af7eb2f5be400f443b566ed70269dfb49eae59a5190253747dabdd","","Failed at iteration 5 when a full-day Car switch overwrote a passenger-role leg in another trip.","audit_not_applicable; immutable failed attempt retained"
"CAL-GV2-02","2026-08-26","CALIBRATION","gradev2","GradeV2 scoring and repaired joint-selector run2","SUCCESS","true","CALIBRATION_REJECTED","NOT_ADOPTED","","NOT_READY","0..21","6884cc53e16bd20a4faa09547c1d5eb59d34a2ec","3e6a3781fe63d49fc67cc4eb305fe6104664fc67","8b7db746931e8ba739dc76bfda57f6d95b0212a5","024a899bd51d33dfc41cc99abc4b59b251342ad78488c3cef22e85e36a1ec10b","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260826_gradev2_payload2","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260826_gradev2_release2","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260826_gradev2_run2","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260826_gradev2_audit1","2295ea009cb1743501899e40572eac627ed5ca527419249b2f60a663e0a65b39","fbc084d7f7af7eb2f5be400f443b566ed70269dfb49eae59a5190253747dabdd","CAL-GV2-01","Historical 2026-08-26 technical success: 22 iterations and joint selections 5 and 15 completed; Taxi requests 99.9971 percent and school bus 8792 met diagnostics but Taxi share 9.2994 percent Walk share 5.0203 percent Walk mean 21.329 minutes and total completion 99.0717 percent failed calibration gates.","Candidate12 NOT_READY; D2 labels in d2_summary.json are legacy parser annotations; authoritative scoring is run2 run_metadata.json; result SHA256 d2_summary=3193f8147b00e9283612d484cdeb75b81f440c855d15ca05268187f0702793cd iteration_metrics=0f066b0588f622b341aa2561a61a04d8134833e53406c58d7afad10fa96b8381 mode_transition=61daffe21efff065fa12208a09d57f10b51d09193a00742f96348711d19e00ce comparison_final=53519d9283f8eb0fe944a7df0ed78350ec0d528ccf9805a926457b19d351ff3e"
